[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:14:33.284 verbose] Processed 1000 and generated 1861 boolean variables
[13:14:33.708 verbose] Processed 2000 and generated 3096 boolean variables
[13:14:34.128 verbose] Processed 3000 and generated 4294 boolean variables
[13:14:34.543 verbose] Processed 4000 and generated 5487 boolean variables
[13:14:34.984 verbose] Processed 5000 and generated 6598 boolean variables
[13:14:35.407 verbose] Processed 6000 and generated 7660 boolean variables
[13:14:35.861 verbose] Processed 7000 and generated 8823 boolean variables
[13:14:36.324 verbose] Processed 8000 and generated 9968 boolean variables
[13:14:36.815 verbose] Processed 9000 and generated 11030 boolean variables
[13:14:37.295 verbose] Processed 10000 and generated 12148 boolean variables
[13:14:37.754 verbose] Processed 11000 and generated 13212 boolean variables
[13:14:38.231 verbose] Processed 12000 and generated 14301 boolean variables
[13:14:38.693 verbose] Processed 13000 and generated 15336 boolean variables
[13:14:39.152 verbose] Processed 14000 and generated 16403 boolean variables
[13:14:39.640 verbose] Processed 15000 and generated 17550 boolean variables
[13:14:40.103 verbose] Processed 16000 and generated 18636 boolean variables
[13:14:40.610 verbose] Processed 17000 and generated 19905 boolean variables
[13:14:41.178 verbose] Processed 18000 and generated 21120 boolean variables
[13:14:41.616 verbose] Processed 19000 and generated 22388 boolean variables
[13:14:42.109 verbose] Processed 20000 and generated 23670 boolean variables
[13:14:42.554 verbose] Processed 21000 and generated 25002 boolean variables
[13:14:43.035 verbose] Processed 22000 and generated 26305 boolean variables
[13:14:43.503 verbose] Processed 23000 and generated 27624 boolean variables
[13:14:43.972 verbose] Processed 24000 and generated 29003 boolean variables
[13:14:44.411 verbose] Processed 25000 and generated 30279 boolean variables
[13:14:44.854 verbose] Processed 26000 and generated 31538 boolean variables
[13:14:45.312 verbose] Processed 27000 and generated 32808 boolean variables
[13:14:45.798 verbose] Processed 28000 and generated 34165 boolean variables
[13:14:46.277 verbose] Processed 29000 and generated 35445 boolean variables
[13:14:46.730 verbose] Processed 30000 and generated 36598 boolean variables
[13:14:47.192 verbose] Processed 31000 and generated 37842 boolean variables
[13:14:47.642 verbose] Processed 32000 and generated 38858 boolean variables
[13:14:48.174 verbose] Processed 33000 and generated 40148 boolean variables
